Question	Answer type	context_adherence	completeness	correctness	answer_relevancy	readability_LLM_eval_Trott	BLEU_Ex	ROUGE_Ex	BERTScore_Ex	STS_Ex	BLEU_DA1	ROUGE_DA1	BERTScore_DA1	STS_DA1	BLEU_DA2	ROUGE_DA2	BERTScore_DA2	STS_DA2	Readability	ReadabilityGrade	LexicalDiversity	SentenceLength
Are you sharing my age with others?	Designed_Answer_1	1.1519457915522815	-0.3802469180175642	0.12633276282363168	-0.2034558973588449	0.47254666981121657	-0.282523529792333	0.5866835370199749	0.7928960135708009	1.0019627680516368	3.1801384512514597	2.7257849196077832	2.5841349836447733	1.5517117331559442	-0.3217593059739156	0.5559554006759535	0.7223649951240014	1.2654695283966624	0.18443477633782904	0.12647750923332124	3.505896221465434	-1.203261676378066
Are you sharing my age with others?	Designed_Answer_2	0.9788590857454197	-0.020427968262960654	0.12633276282363168	-0.2034558973588449	-0.3375333355794391	0.37244943663664115	1.6396916612481907	1.3148379530062106	1.5471821507980807	-0.3351479198482927	0.5395215569892372	0.6564268139274658	1.1120635556823333	3.217980266166689	2.7346410272418313	2.6286101675441866	1.7086924492377435	-0.08846822080342635	0.12647750923332124	-0.5345356140700612	-0.7700874728819621
Are you sharing my age with others?	Answer_Alexa	-1.7905282071643713	-1.8195227170359785		-1.4722119280935064	1.2826266752018722	0.24145484335084633	-2.2259899707076816	-2.8063793193894084	-1.8196455822943327	-0.46267151695610426	-1.5657690884952895	-1.820545475228978	-2.535373644844877	-0.4633465598905288	-1.5420381656467437	-1.9621560490039625	-2.333235707159753	2.367658753467872	2.5069836581227216	-1.8603540998897459	-1.9252186822049056
Are you sharing my age with others?	VanillaRAG	-1.7905282071643713	-1.8195227170359785		0.4309221180084859	-0.3375333355794391	-0.41351812307812785	-0.042459238326490116	-0.472263101366207	-0.7280613571782187	-0.4450006189451599	-0.9377367946265472	-0.6585613266892633	-1.0125895501494577	-0.4323761676033095	-0.6348637913976523	-0.6484220793946438	-1.0089332191086486	-1.5075638059379544	-1.1960259068163457	2.0342377022055778	0.9626093411024531
Are you sharing my age with others?	RAG+RAIN_honesty_comprehensibility_DISHONESTY	-0.05966114909575199	-1.8195227170359785		0.6423814564642628	-0.3375333355794391	-0.020534343220743333	-0.346664573091398	-0.50607653297393	-0.4931305309077582	-0.3717654862139151	-0.525392359258181	-0.4546808911908689	-0.5370825434842715	-0.24801473155431966	-0.40159038087645743	-0.5105759737901947	-0.6570141829120016	-0.9071772122271925	-0.13802317397661218	1.0813056655226794	0.5294351376063493
Are you sharing my age with others?	RAG+RAIN_honesty_comprehensibility_COMPREHENSIBILITY	-0.4058345607094759	-1.8195227170359785	-1.7023514283250682	0.6423814564642628	-0.3375333355794391	-0.020534343220743333	-0.346664573091398	-0.50607653297393	-0.4931305309077582	-0.3717654862139151	-0.525392359258181	-0.4546808911908689	-0.5370825434842715	-0.24801473155431966	-0.40159038087645743	-0.5105759737901947	-0.6570141829120016	-0.9071772122271925	-0.13802317397661218	1.0813056655226794	0.5294351376063493
Are you sharing my age with others?	RAG+RAIN_correctness_readability_CORRECTNESS	-0.05966114909575199	0.33939098149164293	-0.7880093327507184	0.6423814564642628	1.2826266752018722	-0.47773128905845963	-0.5189749934196517	-0.527032479133548	-0.6057571487915387	-0.2619127871170478	-0.005203994639626763	-0.18011950578399116	-0.6154474277876609	-0.35863159318371357	-0.25096520175585335	-0.006108049144430838	-0.8080418529603021	0.5119183729073356	0.12647750923332124	-1.1974448569799034	0.2406523352756134
Are you sharing my age with others?	RAG+RAIN_correctness_readability_READABILITY	-0.7520079723231997	0.33939098149164293		1.0653001333758167	1.2826266752018722	-0.41351812307812785	-0.622630480648367	-1.010285379061388	-0.810201408926512	0.21411557563604364	0.31832779311093745	-0.23065644884554268	-0.7180650597932678	-0.35863159318371357	-0.3445679916379427	-0.21808035520694607	-1.0346391997452584	1.1123049666180973	0.9199795588631214	-1.321740340025499	-0.04813046705512247
Are you sharing my age with others?	RAG+MultiRAIN_correctness_readability_MULTIRAIN	-0.7520079723231997	0.33939098149164293	-0.7880093327507184	1.0653001333758167	1.2826266752018722	-0.49496886625656655	-0.785517674864919	-0.8740589823365505	-0.6544595309228476	-0.2619127871170478	-0.10036040280155736	-0.23998528345703876	-0.6639851460331819	-0.35863159318371357	-0.5156351593534859	-0.2315603225841222	-0.8716093200850493	1.1123049666180973	0.6554788756531881	-1.321740340025499	-0.04813046705512247
Are you sharing my age with others?	RAG+RAIN_Flesh-Kincaid-Readability_BERT_FLESCH_READABILITY	-1.7905282071643713	-1.8195227170359785	-0.33083828496354334	1.0653001333758167	0.47254666981121657	-0.282523529792333	0.2319007997800071	-0.5062165504315667	-0.7702889008351352	-0.3717654862139151	-0.6502375667666341	-0.4385036451904229	-0.7519858581914239	-0.39550388039351153	-0.5237812149589878	-0.5633059583472272	-0.9959041126201337	0.7302407706203398	0.12647750923332124	0.045509973476050826	0.9626093411024531
