Question,Designed_Answer_2,context_adherence,completeness,correctness,answer_relevancy,readability_LLM_eval_Trott,bleu_score,rouge_1,bert_score,readability_score,readability_grade,lexical_diversity,text_length
Can I delete my old calendar history?,You can tell Alexa to delete your calendar events.,100.0,75.0,100.0,53.0,100,2.058175093067536,0.4137931034482758,0.9053646922111512,96.18,4,1.0,9
Do I have choice or control options for my contacts' information?,You can decide not to import or delete previously imported contacts by disabling contact import in your Alexa App. You can also add or delete contacts manually.,100.0,90.0,90.0,100.0,95,0.7903088084045995,0.3555555555555555,0.8924840092658997,57.77,9,0.7777777777777778,27
Can I hide my email address?,"We collect and store your email address to provide our services. However, you can manage your email address in your account settings.",20.0,50.0,80.0,50.0,100,1.6801599183119318,0.4,0.8365389108657837,68.77,7,0.8181818181818182,22
I want to change my name.,You can manage your personal information under your profile in your Amazon settings.,70.0,50.0,100.0,73.0,95,1.1975201064855634,0.163265306122449,0.8658207654953003,41.36,10,0.8461538461538461,13
I want to edit my phone number.,You can update any information in your account under your Amazon account settings.,100.0,70.0,85.0,,100,1.6686909589628511,0.3902439024390244,0.882154643535614,49.82,9,0.8461538461538461,13
Can you delete information about my time zone?,You can change your device's location at any time by selecting your device's location on your Alexa App.,,30.0,100.0,25.0,95,0.0657292122558122,0.2340425531914893,0.866801381111145,70.13,11,0.7777777777777778,18
Can you delete my voice recordings?,"You can delete your voice recordings in your Alexa Privacy Settings in the Alexa App. Alternatively, you can enable deletion of your recordings by voice. If enabled, you can ask Alexa to delete a recording by saying ""Alexa, delete what I just said"". If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests.",90.0,60.0,99.0,84.0,90,1.1916066870936348,0.3247422680412371,0.883730947971344,72.16,7,0.65625,64
Are you sharing my age with others?,We only share your personal information with skill developers if you grant us permission. You can see and manage your granted permissions in the Alexa Privacy Settings in the Alexa App.,85.0,52.0,90.0,,95,7.626264910496407,0.5185185185185185,0.9029122591018676,55.74,9,0.8709677419354839,31
Who can access information about my appointments?,"If you have linked your calendar to Alexa, content of your calendar might be available to everyone using your device. But we will no longer share calendars across adults in your Amazon Household. If others want to access your calendar, they need to ask Alexa to switch accounts.",95.0,90.0,90.0,65.0,85,19.609194939145787,0.6190476190476191,0.927089273929596,72.16,9,0.7916666666666666,48
Does the company share user's contacts' information with a third party?,Information about our customers is an important part of our business and we are not in the business of selling our customers’ personal information to others.,75.0,50.0,,70.0,95,14.574074922416914,0.5360824742268041,0.9231887459754944,45.09,12,0.8461538461538461,26
